126.41	5.81	8.51
126.56	5.98	8.42
126.29	5.73	8.86
128.16	2.72	7.09
129.04	-7.17	9.14
127.85	2.62	5.54
99.69	0.39	10.47
126.49	3.14	1.81
101.94	-4.11	8.65
97.6	3.9	1.47
102.98	-5.8	4.02
125.35	5.24	8.92
108.64	-8.24	2.06
131.41	-6.02	12.67
126.9	4.5	1.62
125.78	-6.58	5.02
129.7	-7.1	4.62
125.46	-6.98	11.66
128.34	-7.33	1.26
100.85	-3.15	3.86
126.45	2.45	2.08
128.04	-3.53	10.85
139.82	-3.54	1.96
123.14	-0.31	4.52
129.03	-2.76	1.75
127.34	-4.16	4.5
102.3	-5.5	1.71
126.17	5.79	2.4
107.58	-7.01	1.62
123.23	-0.16	6.12
102.57	-5.87	5.09
129.39	-6.63	2.16
125.19	3.92	5.12
121.98	-3.55	1.56
126.49	4	2.18
139.81	-3.76	12.84
140.48	-2.67	8.04
138.72	-0.79	3.55
112.04	-9.89	2.72
97.28	-0.52	2.35
97.71	1.38	13.72
102.59	-5.93	4.79
124.98	-8.5	1.45
139.39	-4.56	11.74
102.68	-6.46	2.04
130.2	-6.89	11.82
127.76	-7.93	7.98
134.16	-3.5	10.69
126.47	5.55	1.59
128.14	3.28	2.94
110.15	-8.62	8.99
129.3	1.92	1.36
128	3.41	8.06
116.82	-7.19	1.07
139.1	-2.2	7.39
136.14	-1.31	2.14
126.58	5.52	3.75
126.61	5.48	3.66
132.42	-6.65	1.6
128.02	-3.9	7.92
124.43	2.38	2.58
125.21	-2.46	12.63
135.1	-3.79	1.18
126.84	2.71	5.3
139.05	-2.52	2.3
140.13	-4.32	10.48
130.55	-6.3	2.77
127.72	-6.42	1.78
129.51	-7.15	1.43
120.55	0.47	3.13
128.23	3.87	6.16
128.78	-7.22	4.85
122.7	4.56	1.26
106.11	-9.34	3.22
128.87	-7.47	8.49
112.26	-6.27	1.61
100.05	-1.36	2.09
128.63	-7.8	1.38
99.65	-2.21	1.7
111.7	-9.5	2.82
121.24	-8.42	8.7
118.91	4.41	2.64
140.34	-2.21	7.28
119.58	-8.61	4.28
111.67	-6.1	2.37
101.52	-6.31	2.43
98.27	4.1	7.15
120.39	-7.81	8.56
136.24	-0.67	6.44
118.3	-9.35	7.43
101.93	-4.66	9.05
138.56	-2.54	3.51
96.85	1.92	3.31
129.65	-6.8	2.28
123.29	0.01	12.39
102.94	-5.1	1.84
126.62	4.68	9.05
128.51	-7.48	4.3
130.85	-6.28	9.27
130.1	-6.92	1.75
118.85	-4.22	3.67
121	-8.37	1.46
